,name_i,name_j,spearman,n_words
76,fastTextSub_OpenSub,GloVe_Twitter,0.2498841430971246,32684
77,fastTextSub_OpenSub,GloVe_Wikipedia,0.3489244185296446,38027
78,fastTextSub_OpenSub,LexVec_CommonCrawl,0.4291071358571416,39527
79,fastTextSub_OpenSub,morphoNLM,0.2921648113231802,32126
80,fastTextSub_OpenSub,spherical_text_Wikipedia,0.3839115531125465,34800
81,fastTextSub_OpenSub,PPMI_SVD_SWOW,0.3148392171320495,11732
82,fastTextSub_OpenSub,SGSoftMaxInput_SWOW,0.2845059497987502,11732
83,fastTextSub_OpenSub,SGSoftMaxOutput_SWOW,0.0326055809681868,25233
84,fastTextSub_OpenSub,PPMI_SVD_SouthFlorida,0.130966954608489,4939
85,fastTextSub_OpenSub,PPMI_SVD_EAT,0.20841584552821,7720
86,fastTextSub_OpenSub,THINGS,0.3895062486874034,1541
87,fastTextSub_OpenSub,feature_overlap,0.4245742193310897,4366
88,fastTextSub_OpenSub,norms_sensorimotor,0.1481989752966427,31604
89,fastTextSub_OpenSub,compo_attribs,0.3498036025861559,531
90,fastTextSub_OpenSub,SVD_sim_rel,0.0153366310130071,5816
91,fastTextSub_OpenSub,microarray,0.0615899897096359,613
92,fastTextSub_OpenSub,EEG_speech,0.0529056515194673,1560
93,fastTextSub_OpenSub,EEG_text,0.0332019575312529,3278
94,fastTextSub_OpenSub,fMRI_speech_cognival,0.0079417730273776,553
95,fastTextSub_OpenSub,fMRI_text_cognival,0.0231425459334697,1140
96,fastTextSub_OpenSub,fMRI_text_denoise,0.011792592744463,1097
97,fastTextSub_OpenSub,eye_tracking,0.0382284827069833,7300
98,GloVe_CommonCrawl,GloVe_Twitter,0.4563511317377358,32932
99,GloVe_CommonCrawl,GloVe_Wikipedia,0.6000412884802133,39398
100,GloVe_CommonCrawl,LexVec_CommonCrawl,0.6673383370232172,43140
101,GloVe_CommonCrawl,morphoNLM,0.3696926302809817,32742
102,GloVe_CommonCrawl,spherical_text_Wikipedia,0.5071797969511161,35518
103,GloVe_CommonCrawl,PPMI_SVD_SWOW,0.3478704279055118,11756
104,GloVe_CommonCrawl,SGSoftMaxInput_SWOW,0.2825899509421735,11756
105,GloVe_CommonCrawl,SGSoftMaxOutput_SWOW,-0.0894890607484803,25353
