embed,norm,train_n,fold,r2,mse,check
CBOW_GoogleNews,Freq_SUBTLEXUS,9152,3,0.6800377684017906,0.24117857664757036,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,9152,4,0.651047747316674,0.21060375422851638,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,9152,5,0.6895015074094413,0.22906410159277152,pass
fastText_CommonCrawl,Freq_SUBTLEXUS,9152,1,0.7847028214829698,0.13778503630900044,pass
fastText_CommonCrawl,Freq_SUBTLEXUS,9152,2,0.7909158627075823,0.13333858274516916,pass
fastText_CommonCrawl,Freq_SUBTLEXUS,9152,3,0.8068662965637704,0.1455787811728855,pass
fastText_CommonCrawl,Freq_SUBTLEXUS,9152,4,0.7868087039921035,0.12866771016048334,pass
fastText_CommonCrawl,Freq_SUBTLEXUS,9152,5,0.8076341369584313,0.1419140982846591,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUS,9152,1,0.8047030094349974,0.12498539517046606,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUS,9152,2,0.8061341988215545,0.12363344013868473,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUS,9152,3,0.8233852867260133,0.1331272286409358,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUS,9152,4,0.8112748249898353,0.1139016300050774,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUS,9152,5,0.826651555433173,0.12788437517333043,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,1,0.7241856572840584,0.17651457156765776,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,2,0.7172174809677758,0.18033802468779137,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,3,0.7481900760905599,0.1898072742237733,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,4,0.7026971009576439,0.17943173084531747,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,5,0.7452349016829702,0.18794789590214903,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,1,0.8150827085045631,0.11834263643564373,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,2,0.8228273343517298,0.11298777824395372,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,3,0.8433086322914134,0.11810956827046172,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,4,0.8122059352963356,0.11333967539770086,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUS,9152,5,0.8425991220383566,0.11611937436276495,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,9132,1,0.6416238446543288,0.25440229353063765,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,9132,2,0.6572487232890116,0.23119335240430938,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,9132,3,0.6732204970059235,0.2606942446940659,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,9132,4,0.633430059669746,0.25015596235573057,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,9132,5,0.6942859925949751,0.2418599305212588,pass
fastText_CommonCrawl,Freq_SUBTLEXUK,9132,1,0.7791198623759283,0.15679730017954577,pass
fastText_CommonCrawl,Freq_SUBTLEXUK,9132,2,0.7889729395202117,0.14234244151769512,pass
fastText_CommonCrawl,Freq_SUBTLEXUK,9132,3,0.7997609923275563,0.1597442813431393,pass
fastText_CommonCrawl,Freq_SUBTLEXUK,9132,4,0.7865216400358326,0.14568266162481047,pass
fastText_CommonCrawl,Freq_SUBTLEXUK,9132,5,0.8047310681693052,0.15448337054102554,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUK,9132,1,0.7969992250447722,0.1441051865944981,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUK,9132,2,0.8007487887666567,0.1343993695302814,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUK,9132,3,0.8199491046662138,0.14363885046481184,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUK,9132,4,0.8142699398070801,0.12674656821039143,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_SUBTLEXUK,9132,5,0.8264646517703146,0.13728925155270563,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,1,0.690375401563621,0.21979477931432348,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,2,0.6956548024587315,0.2052875985843465,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,3,0.7259704842022021,0.2186119906244012,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,4,0.6845171735569684,0.21529291240973308,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,5,0.7311048297870841,0.21273139473467567,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,1,0.8059669835921965,0.13773919848880728,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,2,0.8108506195067937,0.12758546022367218,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,3,0.8301418494546574,0.13550740439908096,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,4,0.8076734760491385,0.13124815046786156,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_SUBTLEXUK,9132,5,0.8322671861573554,0.13269868478211733,pass
CBOW_GoogleNews,Freq_Blog,9173,1,0.6659578662082688,0.1821707469461934,pass
CBOW_GoogleNews,Freq_Blog,9173,2,0.6758427563867084,0.17067845982139834,pass
CBOW_GoogleNews,Freq_Blog,9173,3,0.7037779486014888,0.18478988153875756,pass
CBOW_GoogleNews,Freq_Blog,9173,4,0.6631958641370517,0.18017898753865358,pass
CBOW_GoogleNews,Freq_Blog,9173,5,0.7116110897756431,0.18208789632274558,pass
fastText_CommonCrawl,Freq_Blog,9173,1,0.8129408160518321,0.10201321275306331,pass
fastText_CommonCrawl,Freq_Blog,9173,2,0.8216867418580536,0.09388725029297763,pass
fastText_CommonCrawl,Freq_Blog,9173,3,0.8281273560521588,0.1072179649183074,pass
fastText_CommonCrawl,Freq_Blog,9173,4,0.808543199005163,0.10242300758051394,pass
fastText_CommonCrawl,Freq_Blog,9173,5,0.822015646837255,0.11237878883954266,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_Blog,9173,1,0.8306156722267289,0.0923741839425391,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_Blog,9173,2,0.8349102914258248,0.08692465692797602,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_Blog,9173,3,0.8465210725919615,0.09574355683693554,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_Blog,9173,4,0.8341826924809377,0.08870673309465425,pass
CBOW_GoogleNews&fastText_CommonCrawl,Freq_Blog,9173,5,0.8439555062213842,0.09852602717209524,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,9173,1,0.7301806942196849,0.14714666056213555,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,9173,2,0.7316469598829969,0.14129588179186375,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,9173,3,0.767885614916858,0.14479809832000556,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,9173,4,0.726105801866562,0.1465242675418797,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,9173,5,0.7705410158412079,0.14487971706444566,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_Blog,9173,1,0.8414083280817545,0.08648838098611014,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_Blog,9173,2,0.8468352776190158,0.08064579592163879,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_Blog,9173,3,0.8640952551122321,0.08478039224223645,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_Blog,9173,4,0.8367065883122592,0.087356532942345,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,Freq_Blog,9173,5,0.8576362533797884,0.0898880442889836,pass
CBOW_GoogleNews,Freq_Twitter,9173,1,0.6776601793326267,0.22782872782934951,pass
CBOW_GoogleNews,Freq_Twitter,9173,2,0.6857880932113041,0.22605533483621787,pass
CBOW_GoogleNews,Freq_Twitter,9173,3,0.6981192226306532,0.24634290245253349,pass
CBOW_GoogleNews,Freq_Twitter,9173,4,0.6836788219431467,0.2140457701423848,pass
