embed,norm,train_n,fold,r2,check
BERT_base&CBOW_GoogleNews,context_diversity_twitter_gimenes,5852,1,0.8442956921603647,pass
BERT_base&CBOW_GoogleNews,context_diversity_twitter_gimenes,5852,2,0.8246407093991177,pass
BERT_base&CBOW_GoogleNews,context_diversity_twitter_gimenes,5852,3,0.8504603284474181,pass
BERT_base&CBOW_GoogleNews,context_diversity_twitter_gimenes,5852,4,0.8396912617896654,pass
BERT_base&CBOW_GoogleNews,context_diversity_twitter_gimenes,5852,5,0.8459408069065734,pass
BERT_base&CBOW_GoogleNews,context_diversity_news_gimenes,5852,1,0.8695519368649299,pass
BERT_base&CBOW_GoogleNews,context_diversity_news_gimenes,5852,2,0.8557477981816096,pass
BERT_base&CBOW_GoogleNews,context_diversity_news_gimenes,5852,3,0.8719309566130204,pass
BERT_base&CBOW_GoogleNews,context_diversity_news_gimenes,5852,4,0.8766244976188543,pass
BERT_base&CBOW_GoogleNews,context_diversity_news_gimenes,5852,5,0.8655603657776078,pass
BERT_base&CBOW_GoogleNews,familiarity_glasgow,2762,1,0.6245071611546136,pass
BERT_base&CBOW_GoogleNews,familiarity_glasgow,2762,2,0.5850780499828288,pass
BERT_base&CBOW_GoogleNews,familiarity_glasgow,2762,3,0.6021148656846703,pass
BERT_base&CBOW_GoogleNews,familiarity_glasgow,2762,4,0.5568985915539582,pass
BERT_base&CBOW_GoogleNews,familiarity_glasgow,2762,5,0.6289334820558858,pass
BERT_base&CBOW_GoogleNews,familiarity_brysbaert,5832,1,0.10460589678761778,pass
BERT_base&CBOW_GoogleNews,familiarity_brysbaert,5832,2,0.10989488511215528,pass
BERT_base&CBOW_GoogleNews,familiarity_brysbaert,5832,3,0.12327287126930786,pass
BERT_base&CBOW_GoogleNews,familiarity_brysbaert,5832,4,0.10528726215602247,pass
BERT_base&CBOW_GoogleNews,familiarity_brysbaert,5832,5,0.09503458331237624,pass
BERT_base&CBOW_GoogleNews,prevalence_brysbaert,5845,1,0.25156361882094447,pass
BERT_base&CBOW_GoogleNews,prevalence_brysbaert,5845,2,0.2719987360698194,pass
BERT_base&CBOW_GoogleNews,prevalence_brysbaert,5845,3,0.2539956909521781,pass
BERT_base&CBOW_GoogleNews,prevalence_brysbaert,5845,4,0.2820469597129186,pass
BERT_base&CBOW_GoogleNews,prevalence_brysbaert,5845,5,0.2409263778322659,pass
BERT_base&CBOW_GoogleNews,aoa_kuperman,5742,1,0.6801343393159074,pass
BERT_base&CBOW_GoogleNews,aoa_kuperman,5742,2,0.6665047799136024,pass
BERT_base&CBOW_GoogleNews,aoa_kuperman,5742,3,0.7074978297525032,pass
BERT_base&CBOW_GoogleNews,aoa_kuperman,5742,4,0.6725156672263979,pass
BERT_base&CBOW_GoogleNews,aoa_kuperman,5742,5,0.6634175535059804,pass
BERT_base&CBOW_GoogleNews,aoa_brysbaert,5533,1,0.7266589682378621,pass
BERT_base&CBOW_GoogleNews,aoa_brysbaert,5533,2,0.7209649092987933,pass
BERT_base&CBOW_GoogleNews,aoa_brysbaert,5533,3,0.7419774008901019,pass
BERT_base&CBOW_GoogleNews,aoa_brysbaert,5533,4,0.7178256573146646,pass
BERT_base&CBOW_GoogleNews,aoa_brysbaert,5533,5,0.7136598946083788,pass
BERT_base&CBOW_GoogleNews,aoa_glasgow,2762,1,0.7057298695518164,pass
BERT_base&CBOW_GoogleNews,aoa_glasgow,2762,2,0.7309261833787225,pass
BERT_base&CBOW_GoogleNews,aoa_glasgow,2762,3,0.7004295588273358,pass
BERT_base&CBOW_GoogleNews,aoa_glasgow,2762,4,0.7121108897222206,pass
BERT_base&CBOW_GoogleNews,aoa_glasgow,2762,5,0.7204576471038938,pass
BERT_base&CBOW_GoogleNews,frequency_trajectory_brysbaert,4892,1,0.7639007399203054,pass
BERT_base&CBOW_GoogleNews,frequency_trajectory_brysbaert,4892,2,0.7778788691539262,pass
BERT_base&CBOW_GoogleNews,frequency_trajectory_brysbaert,4892,3,0.7646602554790108,pass
BERT_base&CBOW_GoogleNews,frequency_trajectory_brysbaert,4892,4,0.773269713888402,pass
BERT_base&CBOW_GoogleNews,frequency_trajectory_brysbaert,4892,5,0.7479284520368972,pass
BERT_base&CBOW_GoogleNews,pos_brysbaert,5788,1,0.8089442671868741,pass
BERT_base&CBOW_GoogleNews,pos_brysbaert,5788,2,0.7897345635939212,pass
BERT_base&CBOW_GoogleNews,pos_brysbaert,5788,3,0.7882662923637642,pass
BERT_base&CBOW_GoogleNews,pos_brysbaert,5788,4,0.7955168566197276,pass
BERT_base&CBOW_GoogleNews,pos_brysbaert,5788,5,0.7730551987129997,pass
BERT_base&CBOW_GoogleNews,pos_vanheuven,5787,1,0.6771073808706323,pass
BERT_base&CBOW_GoogleNews,pos_vanheuven,5787,2,0.7014562054419382,pass
BERT_base&CBOW_GoogleNews,pos_vanheuven,5787,3,0.6606780476484422,pass
BERT_base&CBOW_GoogleNews,pos_vanheuven,5787,4,0.6991951949059381,pass
