embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,5,0.8485728591956304,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,1,0.8518261531979647,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,2,0.8434311126306107,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,3,0.8388300342415865,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,4,0.852134963967037,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,5,0.8506160708673154,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,1,0.5838607599847532,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,2,0.5760190330293053,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,3,0.5745114884973122,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,4,0.555006424462444,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,5,0.582669978558352,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,1,0.09980916723022959,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,2,0.10616765590662192,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,3,0.118371947469878,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,4,0.11648324240820473,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,5,0.09049863910389344,pass
BERT_base&Llama_3_8B,prevalence_brysbaert,5845,1,0.27295928381137546,pass
BERT_base&Llama_3_8B,prevalence_brysbaert,5845,2,0.30156389373710846,pass
BERT_base&Llama_3_8B,prevalence_brysbaert,5845,3,0.31253518710623596,pass
BERT_base&Llama_3_8B,prevalence_brysbaert,5845,4,0.33140164262621374,pass
BERT_base&Llama_3_8B,prevalence_brysbaert,5845,5,0.3068615713640187,pass
BERT_base&Llama_3_8B,aoa_kuperman,5742,1,0.6800395932861529,pass
BERT_base&Llama_3_8B,aoa_kuperman,5742,2,0.6637265011102562,pass
BERT_base&Llama_3_8B,aoa_kuperman,5742,3,0.667282258318475,pass
BERT_base&Llama_3_8B,aoa_kuperman,5742,4,0.6414699430894493,pass
BERT_base&Llama_3_8B,aoa_kuperman,5742,5,0.6626215270460261,pass
BERT_base&Llama_3_8B,aoa_brysbaert,5533,1,0.713807932031687,pass
BERT_base&Llama_3_8B,aoa_brysbaert,5533,2,0.7127585924813781,pass
BERT_base&Llama_3_8B,aoa_brysbaert,5533,3,0.7077879704208632,pass
BERT_base&Llama_3_8B,aoa_brysbaert,5533,4,0.7043915841117218,pass
BERT_base&Llama_3_8B,aoa_brysbaert,5533,5,0.7114486749534729,pass
BERT_base&Llama_3_8B,aoa_glasgow,2762,1,0.7033131113022542,pass
BERT_base&Llama_3_8B,aoa_glasgow,2762,2,0.7152699016496229,pass
BERT_base&Llama_3_8B,aoa_glasgow,2762,3,0.6570202968379353,pass
BERT_base&Llama_3_8B,aoa_glasgow,2762,4,0.7047811183609335,pass
BERT_base&Llama_3_8B,aoa_glasgow,2762,5,0.7048491991104804,pass
BERT_base&Llama_3_8B,frequency_trajectory_brysbaert,4892,1,0.7601186570713111,pass
BERT_base&Llama_3_8B,frequency_trajectory_brysbaert,4892,2,0.7673683721415518,pass
BERT_base&Llama_3_8B,frequency_trajectory_brysbaert,4892,3,0.7667131865214699,pass
BERT_base&Llama_3_8B,frequency_trajectory_brysbaert,4892,4,0.7686861928782731,pass
BERT_base&Llama_3_8B,frequency_trajectory_brysbaert,4892,5,0.7464515507342242,pass
BERT_base&Llama_3_8B,pos_brysbaert,5788,1,0.768671370906151,pass
BERT_base&Llama_3_8B,pos_brysbaert,5788,2,0.7816619190354681,pass
BERT_base&Llama_3_8B,pos_brysbaert,5788,3,0.7605042912320101,pass
BERT_base&Llama_3_8B,pos_brysbaert,5788,4,0.7733225642372332,pass
BERT_base&Llama_3_8B,pos_brysbaert,5788,5,0.7364178489237003,pass
BERT_base&Llama_3_8B,pos_vanheuven,5787,1,0.6821164462177046,pass
BERT_base&Llama_3_8B,pos_vanheuven,5787,2,0.7035653613260769,pass
BERT_base&Llama_3_8B,pos_vanheuven,5787,3,0.6678264169468088,pass
BERT_base&Llama_3_8B,pos_vanheuven,5787,4,0.7086171683335079,pass
BERT_base&Llama_3_8B,pos_vanheuven,5787,5,0.644570511866545,pass
BERT_base&Llama_3_8B,concreteness_brysbaert,5832,1,0.8389265609001538,pass
BERT_base&Llama_3_8B,concreteness_brysbaert,5832,2,0.8077937422189547,pass
BERT_base&Llama_3_8B,concreteness_brysbaert,5832,3,0.8246262949365907,pass
BERT_base&Llama_3_8B,concreteness_brysbaert,5832,4,0.8245053032740924,pass
BERT_base&Llama_3_8B,concreteness_brysbaert,5832,5,0.8081023181255089,pass
BERT_base&Llama_3_8B,concreteness_glasgow,2762,1,0.8409205131520123,pass
BERT_base&Llama_3_8B,concreteness_glasgow,2762,2,0.8140714327803903,pass
BERT_base&Llama_3_8B,concreteness_glasgow,2762,3,0.8294326389124027,pass
BERT_base&Llama_3_8B,concreteness_glasgow,2762,4,0.820907134349867,pass
BERT_base&Llama_3_8B,concreteness_glasgow,2762,5,0.8139245372913688,pass
BERT_base&Llama_3_8B,imageability_glasgow,2762,1,0.792806104625333,pass
BERT_base&Llama_3_8B,imageability_glasgow,2762,2,0.7528813568561843,pass
BERT_base&Llama_3_8B,imageability_glasgow,2762,3,0.7647087063959371,pass
BERT_base&Llama_3_8B,imageability_glasgow,2762,4,0.7608297849244834,pass
BERT_base&Llama_3_8B,imageability_glasgow,2762,5,0.7469073521824842,pass
BERT_base&Llama_3_8B,n_senses_wordnet_miller,5803,1,0.46971774772433506,pass
BERT_base&Llama_3_8B,n_senses_wordnet_miller,5803,2,0.5114256019615597,pass
BERT_base&Llama_3_8B,n_senses_wordnet_miller,5803,3,0.48111920336189395,pass
BERT_base&Llama_3_8B,n_senses_wordnet_miller,5803,4,0.505464840306453,pass
BERT_base&Llama_3_8B,n_senses_wordnet_miller,5803,5,0.4576800592806075,pass
BERT_base&Llama_3_8B,n_senses_wordsmyth_rice,365,1,0.37269153636128294,pass
BERT_base&Llama_3_8B,n_senses_wordsmyth_rice,365,2,0.2878976637969457,pass
BERT_base&Llama_3_8B,n_senses_wordsmyth_rice,365,3,0.3002628878124295,pass
BERT_base&Llama_3_8B,n_senses_wordsmyth_rice,365,4,0.2877051041288743,pass
BERT_base&Llama_3_8B,n_senses_wordsmyth_rice,365,5,0.2891745368024705,pass
BERT_base&Llama_3_8B,n_meanings_wordsmyth_rice,365,1,-0.008452339321158853,pass
BERT_base&Llama_3_8B,n_meanings_wordsmyth_rice,365,2,0.008185886048201807,pass
BERT_base&Llama_3_8B,n_meanings_wordsmyth_rice,365,3,-0.08079349475161557,pass
BERT_base&Llama_3_8B,n_meanings_wordsmyth_rice,365,4,0.008694736130806291,pass
BERT_base&Llama_3_8B,n_meanings_wordsmyth_rice,365,5,-0.03059438005884796,pass
BERT_base&Llama_3_8B,n_meanings_websters_gao,5596,1,0.31371869429845545,pass
BERT_base&Llama_3_8B,n_meanings_websters_gao,5596,2,0.3274281858086603,pass
