embed,embed_type,norm,train_n,p,r2_mean,r2_sd,check
CBOW_GoogleNews,text,Valence_Covid_Younger,2875,300,0.6645164390207421,0.022742886762206507,pass
CBOW_GoogleNews,text,Valence_Covid_Older,2875,300,0.6889774549012637,0.02840014146807075,pass
CBOW_GoogleNews,text,Arousal_Warr,11014,300,0.37504153330279466,0.01778891362940991,pass
CBOW_GoogleNews,text,Arousal_Glasgow,3694,300,0.5387717221410204,0.01630686455037619,pass
CBOW_GoogleNews,text,Arousal_NRC,15456,300,0.46333881779615504,0.004052733908938407,pass
CBOW_GoogleNews,text,Dominance_Warr,11014,300,0.483011666146181,0.006778873367938088,pass
CBOW_GoogleNews,text,Dominance_Glasgow,3694,300,0.5136280082449245,0.017577896761442058,pass
CBOW_GoogleNews,text,Dominance_NRC,15456,300,0.4915673007036158,0.007053314678431169,pass
CBOW_GoogleNews,text,Humor_Overall_Enge,3990,300,0.46856350484886394,0.017967021389720027,pass
CBOW_GoogleNews,text,Emot_Assoc_Anger,11257,300,0.3483959931819958,0.02076938413834065,pass
CBOW_GoogleNews,text,Emot_Assoc_Anticipation,11257,300,0.13861466403095007,0.027460351708942007,pass
CBOW_GoogleNews,text,Emot_Assoc_Disgust,11257,300,0.3388440189512084,0.02022599572803634,pass
CBOW_GoogleNews,text,Emot_Assoc_Fear,11257,300,0.3304534533370645,0.024251877292394097,pass
CBOW_GoogleNews,text,Emot_Assoc_Joy,11257,300,0.3700109791761714,0.03085297536206286,pass
CBOW_GoogleNews,text,Emot_Assoc_Negative,11257,300,0.43485146975263406,0.008533588847186246,pass
CBOW_GoogleNews,text,Emot_Assoc_Positive,11257,300,0.2785016537583629,0.012388698904974656,pass
CBOW_GoogleNews,text,Emot_Assoc_Sadness,11257,300,0.3263690770232395,0.02068524991326847,pass
CBOW_GoogleNews,text,Emot_Assoc_Surprise,11257,300,0.16522695947246543,0.024269437647489116,pass
CBOW_GoogleNews,text,Emot_Assoc_Trust,11257,300,0.20051061439263407,0.014746842130074498,pass
CBOW_GoogleNews,text,Sem_Diversity,24067,300,0.6456032556795663,0.010976169384848395,pass
CBOW_GoogleNews,text,Sem_N,40004,300,0.3852065076882461,0.009598983677863784,pass
CBOW_GoogleNews,text,Sem_N_D,40004,300,0.5056798079636706,0.009433775960602823,pass
CBOW_GoogleNews,text,Assoc_Freq_Token123,23643,300,0.16608659284036756,0.012592963064189519,pass
CBOW_GoogleNews,text,Cue_SetSize,3960,300,0.07338935149013644,0.02638927398554928,pass
CBOW_GoogleNews,text,Cue_MeanConn,3960,300,0.09943902023637555,0.023169220190372007,pass
CBOW_GoogleNews,text,Cue_Prob,3960,300,0.17859312557524132,0.011918538410584777,pass
CBOW_GoogleNews,text,Cue_ResoStrength,3960,300,0.17216462084732992,0.018290574721349682,pass
CBOW_GoogleNews,text,LexicalD_RT_V_ELP,30818,300,0.3450809070109805,0.006365109370384948,pass
CBOW_GoogleNews,text,LexicalD_RT_V_ECP,38908,300,0.45521031230522163,0.005990151478698298,pass
CBOW_GoogleNews,text,LexicalD_RT_V_BLP,21852,300,0.31088040514397813,0.014192355295873734,pass
CBOW_GoogleNews,text,LexicalD_ACC_V_ELP,31033,300,0.28133846385053707,0.012583823128416062,pass
CBOW_GoogleNews,text,LexicalD_ACC_V_ECP,38908,300,0.3832584384064176,0.005242870070415786,pass
CBOW_GoogleNews,text,LexicalD_ACC_V_BLP,21852,300,0.377286522563152,0.014655041305808681,pass
CBOW_GoogleNews,text,LexicalD_RT_A_MALD,20812,300,0.09788034532666175,0.008323357828284477,pass
CBOW_GoogleNews,text,LexicalD_RT_A_AELP,8032,300,0.2718431880794814,0.011334637329200554,pass
CBOW_GoogleNews,text,LexicalD_ACC_A_MALD,20993,300,0.127584764179062,0.006446382001979957,pass
CBOW_GoogleNews,text,LexicalD_ACC_A_AELP,8034,300,0.23737769392347913,0.012016130064950403,pass
CBOW_GoogleNews,text,Naming_RT_ELP,30824,300,0.3387810916861399,0.008072246380624004,pass
CBOW_GoogleNews,text,Naming_ACC_ELP,30824,300,0.20925750484431083,0.004071915902594033,pass
CBOW_GoogleNews,text,SemanticD_RT_Calgary,7964,300,0.22192389619725744,0.02609814291593197,pass
CBOW_GoogleNews,text,SemanticD_ACC_Calgary,7964,300,0.11970454997993138,0.008146844621579843,pass
CBOW_GoogleNews,text,Recog_Memory,3790,300,0.3707615766280468,0.022400856669216276,pass
CBOW_GoogleNews,text,Vision_Binder,424,300,0.5976311260409721,0.06644802282908528,pass
CBOW_GoogleNews,text,Bright_Binder,424,300,0.36294970818729266,0.05438845461583839,pass
CBOW_GoogleNews,text,Dark_Binder,424,300,0.22271312420991132,0.0494376075164046,pass
CBOW_GoogleNews,text,Color_Binder,424,300,0.6214018561765446,0.05615950266803375,pass
CBOW_GoogleNews,text,Pattern_Binder,424,300,0.6002125722974349,0.09001754732270781,pass
CBOW_GoogleNews,text,Large_Binder,424,300,0.5311710449896806,0.07581588274882202,pass
CBOW_GoogleNews,text,Small_Binder,424,300,0.4793116721103317,0.0504798308338975,pass
CBOW_GoogleNews,text,Motion_Binder,424,300,0.5174183632151215,0.0878928602828536,pass
CBOW_GoogleNews,text,Biomotion_Binder,424,300,0.6766896629353039,0.036267995747490324,pass
CBOW_GoogleNews,text,Fast_Binder,424,300,0.5352282256147045,0.040779236815151415,pass
CBOW_GoogleNews,text,Slow_Binder,424,300,0.29218947757743174,0.1219603090350135,pass
CBOW_GoogleNews,text,Shape_Binder,424,300,0.6686361400416269,0.04404965360078826,pass
CBOW_GoogleNews,text,Complexity_Binder,346,300,0.5256141695713505,0.07412706700619137,pass
CBOW_GoogleNews,text,Face_Binder,424,300,0.6522303571525513,0.07549342510406552,pass
CBOW_GoogleNews,text,Body_Binder,424,300,0.64665746366107,0.0591968863705685,pass
CBOW_GoogleNews,text,Touch_Binder,424,300,0.5129353010036326,0.03655229857171363,pass
CBOW_GoogleNews,text,Temperature_Binder,424,300,0.4133501425058458,0.06351707080198056,pass
CBOW_GoogleNews,text,Texture_Binder,424,300,0.6091423602154318,0.05559098245835379,pass
CBOW_GoogleNews,text,Weight_Binder,424,300,0.5324237216488902,0.040204885360417685,pass
CBOW_GoogleNews,text,Pain_Binder,424,300,0.576923274460845,0.09912478507719247,pass
CBOW_GoogleNews,text,Audition_Binder,424,300,0.5835224987194781,0.04987561619783739,pass
CBOW_GoogleNews,text,Loud_Binder,424,300,0.6117026122843687,0.05719279982113906,pass
CBOW_GoogleNews,text,Low_Binder,424,300,0.5274260075002484,0.04074168692856504,pass
CBOW_GoogleNews,text,High_Binder,424,300,0.5274280082271007,0.07181740069495854,pass
CBOW_GoogleNews,text,Sound_Binder,424,300,0.5994236048987664,0.02690435463244254,pass
CBOW_GoogleNews,text,Music_Binder,424,300,0.6296710411887056,0.12414011126866913,pass
CBOW_GoogleNews,text,Speech_Binder,424,300,0.551115345207456,0.0866250051686632,pass
CBOW_GoogleNews,text,Taste_Binder,424,300,0.7128479284055762,0.0661685416441935,pass
CBOW_GoogleNews,text,Smell_Binder,424,300,0.5915294368261595,0.07129312526734101,pass
CBOW_GoogleNews,text,Head_Binder,424,300,0.47338079779851805,0.036031919702310435,pass
CBOW_GoogleNews,text,UpperLimb_Binder,424,300,0.38625355847021553,0.03990255286919733,pass
CBOW_GoogleNews,text,LowerLimb_Binder,424,300,0.31569578623742,0.10553266482194872,pass
CBOW_GoogleNews,text,Practice_Binder,393,300,0.579900145076215,0.030854604893214278,pass
CBOW_GoogleNews,text,Landmark_Binder,424,300,0.5117325958158879,0.08646624607977632,pass
CBOW_GoogleNews,text,Path_Binder,424,300,0.5268822437907128,0.06706095078051338,pass
CBOW_GoogleNews,text,Scene_Binder,424,300,0.5107712119011082,0.038220630716924664,pass
CBOW_GoogleNews,text,Near_Binder,424,300,0.3885306890856947,0.1292480675523844,pass
CBOW_GoogleNews,text,Toward_Binder,424,300,0.35116782201881164,0.035328956874635525,pass
CBOW_GoogleNews,text,Away_Binder,424,300,0.33823621408112897,0.04608685373880199,pass
CBOW_GoogleNews,text,Number_Binder,424,300,-0.00273362872196925,0.4737072627548857,pass
CBOW_GoogleNews,text,Time_Binder,424,300,0.4566311478596973,0.06244562386207988,pass
CBOW_GoogleNews,text,Duration_Binder,424,300,0.42990591798323363,0.062130017585587304,pass
CBOW_GoogleNews,text,Long_Binder,424,300,0.41105481656820364,0.05902804237071731,pass
CBOW_GoogleNews,text,Short_Binder,424,300,0.517326387649379,0.059163385241600926,pass
CBOW_GoogleNews,text,Caused_Binder,393,300,0.5943476871612458,0.058910929993780135,pass
CBOW_GoogleNews,text,Consequential_Binder,424,300,0.6737900144658556,0.05802916079761597,pass
CBOW_GoogleNews,text,Social_Binder,424,300,0.6163522299247503,0.0289476075323184,pass
CBOW_GoogleNews,text,Human_Binder,424,300,0.6747675231803141,0.07696588092167907,pass
CBOW_GoogleNews,text,Communication_Binder,424,300,0.5001886086685202,0.04189631349848941,pass
CBOW_GoogleNews,text,Self_Binder,424,300,0.495179616647084,0.026588002314782595,pass
CBOW_GoogleNews,text,Cognition_Binder,424,300,0.6440568244808572,0.040478756250329664,pass
CBOW_GoogleNews,text,Benefit_Binder,424,300,0.418201583796998,0.0319376722276547,pass
CBOW_GoogleNews,text,Harm_Binder,424,300,0.5395704103935268,0.07417341441980559,pass
CBOW_GoogleNews,text,Pleasant_Binder,424,300,0.5002590128529019,0.051241305020124625,pass
CBOW_GoogleNews,text,Unpleasant_Binder,424,300,0.605421666604404,0.07711257743156882,pass
CBOW_GoogleNews,text,Happy_Binder,424,300,0.4501110093133273,0.06029300157705147,pass
CBOW_GoogleNews,text,Sad_Binder,424,300,0.5268922702016298,0.0944770956610861,pass
CBOW_GoogleNews,text,Angry_Binder,424,300,0.5327945084314031,0.029853416046962997,pass
CBOW_GoogleNews,text,Disgusted_Binder,424,300,0.422701295707844,0.06903991693908275,pass
CBOW_GoogleNews,text,Fearful_Binder,424,300,0.5775631214748113,0.04523519640542266,pass
CBOW_GoogleNews,text,Surprised_Binder,424,300,0.5163798234645248,0.0553054155629167,pass
CBOW_GoogleNews,text,Drive_Binder,424,300,0.5042097441336834,0.03826648744797304,pass
CBOW_GoogleNews,text,Needs_Binder,424,300,0.33706796129998917,0.0394227363756473,pass
CBOW_GoogleNews,text,Attention_Binder,424,300,0.54164593709408,0.06303658448945602,pass
CBOW_GoogleNews,text,Arousal_Binder,424,300,0.5264534450326173,0.02784890272594301,pass
CBOW_GoogleNews,text,goals_wilkowski,842,300,0.7879180776351298,0.024260452839017673,pass
CBOW_GoogleNews,text,familiarity_lyn,333,300,0.020597727126159992,0.20641096305055195,pass
CBOW_GoogleNews,text,visual_lyn,333,300,0.5534190901400766,0.04433267266860528,pass
CBOW_GoogleNews,text,haptic_lyn,333,300,0.5333678391373092,0.08321024877208698,pass
CBOW_GoogleNews,text,auditory_lyn,333,300,0.6972481619045873,0.060414090417526996,pass
CBOW_GoogleNews,text,olfactory_lyn,333,300,0.649584538386613,0.021899631971759752,pass
CBOW_GoogleNews,text,gustatory_lyn,333,300,0.7103923410319652,0.050561070314061415,pass
CBOW_GoogleNews,text,dominant_modality_lyn,333,300,0.6210616462444032,0.02665515744716721,pass
CBOW_GoogleNews,text,imagery_toronto,863,300,0.6071991542071202,0.027021888173377483,pass
CBOW_GoogleNews,text,concreteness_toronto,863,300,0.697144156987273,0.015794686868351598,pass
CBOW_GoogleNews,text,aoa_khanna,1048,300,0.01616214005857728,0.030469431385099218,pass
CBOW_GoogleNews,text,rt_khanna,1048,300,0.0017722260456435768,0.03569427941004344,pass
CBOW_GoogleNews,text,aoa_hollis,830,300,0.5702700356229847,0.05817338225425037,pass
CBOW_GoogleNews,text,valence_hollis,830,300,0.7434438054606991,0.02495295060244114,pass
CBOW_GoogleNews,text,arousal_hollis,830,300,0.6258980300297822,0.039479944736239024,pass
CBOW_GoogleNews,text,concreteness_hollis,830,300,0.7785918974906092,0.01529267962370305,pass
CBOW_GoogleNews,text,aoa_stration,410,300,0.3429015006063761,0.05088594868585606,pass
CBOW_GoogleNews,text,imagery_stration,410,300,0.39972422214596703,0.03828748085666657,pass
CBOW_GoogleNews,text,familiarity_stration,410,300,0.36718040522050904,0.04776123817641377,pass
